# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
56,1715466507.2776692,179200,10.0,0.0,1.28125,0,288.0,0.0,0.0,-0.955171525478363,-0.8586199879646301,0.0006982804625295103,-0.09724979102611542,1.0,1.0,0.0,0.0
57,1715466535.9899807,182400,13.0,0.0,1.125,0,288.0,0.0,0.0,-0.26965251564979553,-0.17258772253990173,0.00018765515414997935,-0.09725243598222733,1.0,1.0,0.0,0.0
58,1715466563.8956182,185600,9.0,0.03125,1.03125,0,278.0,0.04236111044883728,0.12708333134651184,0.819288969039917,0.8806802034378052,0.03586115688085556,-0.09725233912467957,1.0,1.0,0.0,0.0
59,1715466589.8216283,188800,14.0,0.09375,1.625,0,273.3571472167969,0.06718750298023224,0.13397330045700073,1.0114192962646484,1.051656723022461,0.057019904255867004,-0.09725736081600189,1.0,1.0,0.0,0.0
60,1715466616.6550512,192000,10.0,0.0,1.5625,0,288.0,0.0,0.0,-1.6459068059921265,-1.5508511066436768,0.00219442555680871,-0.09725009649991989,1.0,1.0,0.0,0.0
61,1715466643.8204746,195200,12.0,0.03125,1.25,0,275.8333435058594,0.04635416716337204,0.16057553887367249,0.9433854222297668,0.9673082828521729,0.07332974672317505,-0.09725257009267807,1.0,1.0,0.0,0.0
62,1715466667.4314098,198400,12.0,0.0,1.34375,0,288.0,0.0,0.0,-1.1871998310089111,-1.0911179780960083,0.0011589634232223034,-0.09724076092243195,1.0,1.0,0.0,0.0
63,1715466691.8050416,201600,9.0,0.0,1.625,0,288.0,0.0,0.0,-0.36742112040519714,-0.2703487277030945,0.00016963781672529876,-0.09724203497171402,1.0,1.0,0.0,0.0
64,1715466719.6625028,204800,14.0,0.0,1.3125,0,288.0,0.0,0.0,-0.19257645308971405,-0.09544463455677032,0.00011156687105540186,-0.09724338352680206,1.0,1.0,0.0,0.0
65,1715466745.8647938,208000,10.0,0.03125,1.5,0,266.6000061035156,0.0768750011920929,0.243100106716156,0.5599551796913147,0.597166895866394,0.0600309744477272,-0.09724269807338715,1.0,1.0,0.0,0.0
