# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
91,1715511158.0043054,291200,12.0,0.09375,1.5,0,245.33334350585938,0.15833333134651184,0.2867032289505005,4.066595554351807,3.870840072631836,0.2924519181251526,-0.09669623523950577,0.0005937500391155481,0.00010824898345163092,0.0007019990007393062,0.3311833143234253,0.09925771504640579,1320.3125,932.34375,36.638423919677734,360.291015625
92,1715511189.3335373,294400,11.0,0.0,0.90625,0,288.0,0.0,0.0,-4.963628768920898,-4.889627933502197,0.02254660427570343,-0.09654756635427475,0.0,0.00011549284681677818,0.00011549284681677818,0.3304060995578766,0.10522080212831497,1321.5,936.6875,38.029014587402344,362.4902648925781
93,1715511216.4153297,297600,14.0,0.0625,1.75,0,267.4285888671875,0.07857142388820648,0.20964877307415009,3.2880353927612305,3.193817615509033,0.19088509678840637,-0.09666720777750015,0.0003437499690335244,0.00011438321234891191,0.00045813320321030915,0.35020288825035095,0.10734961926937103,1345.25,952.4375,37.19762420654297,363.22906494140625
94,1715511246.8949,300800,11.0,0.03125,1.09375,0,280.2727355957031,0.03323863819241524,0.11024007946252823,-2.118788003921509,-2.0505528450012207,0.02845972776412964,-0.09669485688209534,0.00011425781121943146,0.00013288238551467657,0.00024714021128602326,0.364531934261322,0.11289716511964798,1345.34375,960.59375,38.10430908203125,364.9407653808594
95,1715511272.1082666,304000,11.0,0.0,1.75,0,288.0,0.0,0.0,-1.379213809967041,-1.2844425439834595,0.0018859700066968799,-0.09665722399950027,0.0,0.00012339594832155854,0.00012339594832155854,0.3656885325908661,0.11003608256578445,1364.28125,967.90625,37.68675994873047,367.68646240234375
96,1715511302.238373,307200,9.0,0.0,1.59375,0,288.0,0.0,0.0,-0.26222363114356995,-0.16624730825424194,0.0006659147329628468,-0.09664223343133926,0.0,0.000114269474579487,0.000114269474579487,0.3532787561416626,0.10594233870506287,1377.9375,983.625,38.3389892578125,368.79443359375
97,1715511328.4316967,310400,14.0,0.03125,1.375,0,284.71429443359375,0.01741071604192257,0.06514492630958557,0.28203603625297546,0.36765965819358826,0.011022870428860188,-0.0966464951634407,7.617187657160684e-05,0.00011634654947556555,0.00019251841877121478,0.34259331226348877,0.10278909653425217,1383.5,989.46875,38.47819519042969,371.3591003417969
98,1715511359.2090964,313600,9.0,0.0,1.28125,0,288.0,0.0,0.0,-0.7265405654907227,-0.6307262778282166,0.0008255682187154889,-0.09663984924554825,0.0,9.953624248737469e-05,9.953624248737469e-05,0.3409930467605591,0.0926828682422638,1399.0625,1000.5,38.56218719482422,373.10498046875
99,1715511383.5470903,316800,12.0,0.03125,1.375,0,281.8333435058594,0.02760416828095913,0.09562364220619202,0.6219308376312256,0.691126823425293,0.02741459757089615,-0.09661058336496353,0.00010351562377763912,0.00011325944069540128,0.00021677504992112517,0.3493422567844391,0.09922174364328384,1408.84375,1009.9375,39.303585052490234,374.8358154296875
100,1715511417.2907982,320000,9.0,0.03125,1.25,0,282.0,0.02986111305654049,0.08958333730697632,0.26969385147094727,0.3461207449436188,0.020149588584899902,-0.09657646715641022,8.398437785217538e-05,0.00012153624265920371,0.0002055206277873367,0.36233413219451904,0.10037337988615036,1423.59375,1023.21875,38.89795684814453,376.179443359375
