# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
189,1716220532.0794036,604800,15.0,49436216.8125,0.0,2145190116,216.40000915527344,4.033333778381348,1.7099153995513916,9.631674766540527,1.827070951461792,7.901762008666992,-0.09715873748064041,1.0,1.0,0.0,0.0
190,1716220558.933355,608000,18.0,63254933.6875,0.0,2145190116,195.38888549804688,3.3777780532836914,1.31978440284729,18.2287654876709,10.098459243774414,8.22977066040039,-0.09946418553590775,1.0,1.0,0.0,0.0
191,1716220586.9194276,611200,15.0,218591537.5,0.0,2144122919,197.86668395996094,4.433333396911621,0.9759001731872559,19.638931274414062,8.802353858947754,10.932931900024414,-0.09635453671216965,1.0,1.0,0.0,0.0
192,1716220613.14085,614400,18.0,41515694.625,0.0,2145190116,169.7777862548828,3.766666889190674,1.41421377658844,-36.10298538208008,-49.088165283203125,13.073936462402344,-0.08875466883182526,1.0,1.0,0.0,0.0
193,1716220640.153681,617600,19.0,103695888.8125,0.0,2145190116,192.5263214111328,3.942105293273926,1.3849655389785767,13.108139038085938,4.39921236038208,8.804401397705078,-0.09547392278909683,1.0,1.0,0.0,0.0
194,1716220666.9297543,620800,18.0,166480235.09375,0.0,2145190116,163.88888549804688,3.711111307144165,2.0619492530822754,24.81181526184082,11.353565216064453,13.555009841918945,-0.09676023572683334,1.0,1.0,0.0,0.0
195,1716220694.142514,624000,14.0,87768161.3125,0.0,2145190116,232.1428680419922,4.100000381469727,1.1094006299972534,22.767253875732422,12.906866073608398,9.958902359008789,-0.09851504862308502,1.0,1.0,0.0,0.0
196,1716220721.5854018,627200,18.0,65879238.75,0.0,2144122919,189.22222900390625,3.766666889190674,1.3284225463867188,-10.793414115905762,-20.423419952392578,9.73043441772461,-0.10042848438024521,1.0,1.0,0.0,0.0
197,1716220748.902175,630400,12.0,34075287.1875,0.0,2145190116,185.6666717529297,3.016666889190674,1.1645004749298096,6.206275463104248,-2.223410129547119,8.532535552978516,-0.10285000503063202,1.0,1.0,0.0,0.0
198,1716220775.329205,633600,20.0,107223873.125,0.0,2145190116,192.4499969482422,3.500000476837158,1.2732059955596924,-3.8294594287872314,-10.836965560913086,7.10750675201416,-0.10000061243772507,1.0,1.0,0.0,0.0
199,1716220801.2630963,636800,20.0,-148773604.375,0.0,2145190116,173.3000030517578,3.3500001430511475,1.6503591537475586,19.1081600189209,7.874472618103027,11.332834243774414,-0.09914623200893402,1.0,1.0,0.0,0.0
200,1716220827.6624906,640000,16.0,86539264.53125,0.0,2145190116,190.1875,3.2250001430511475,1.0246953964233398,11.05566692352295,3.651089668273926,7.503744602203369,-0.0991676077246666,1.0,1.0,0.0,0.0
201,1716220854.6597888,643200,20.0,47614776.9375,0.0,2144122919,176.3000030517578,3.299999952316284,1.056309700012207,-21.599966049194336,-30.732961654663086,9.231521606445312,-0.09852531552314758,1.0,1.0,0.0,0.0
202,1716220880.860572,646400,16.0,-5542135.5625,0.0,2145190116,166.5625,3.9125003814697266,1.4244886636734009,32.05435562133789,23.026123046875,9.1317720413208,-0.10353951901197433,1.0,1.0,0.0,0.0
